"Data" "Rs" "Tmax" "Tmin" "RHmax" "u2" "RHmin" "DiaJuliano" "N" "Qo" "n" "n.N" "Tmed" "esMax" "esMin" "esMed" "ea" "DPV" "Delta" "BOC" "BOL" "Rn" "ETP.Penman" "W" "ETP.Priestley"
"80" 1980-03-20 21.8 32 20.2 79.7 1.15 79.7 80 12 36.1263764664814 8.48249315802355 0.706874429835296 26.1 4.76550561212473 2.36985765408901 3.56768163310687 2.84344226158617 0.724239371520694 0.210730067075547 16.786 -0.5529183674618 16.2330816325382 5.1700772187455 0.744 6.21124083494147
"81" 1980-03-21 19.51 32.3 25.2 85.51 1.19 85.51 81 11.9928856169234 36.9520293459552 6.6676085320251 0.555963655870803 28.75 4.84703357077636 3.21074718569599 4.02889037823618 3.44510416242976 0.583786215806422 0.233254955128442 15.0227 -0.360227084284907 14.6624729157151 4.70950524270546 0.7705 5.8101096248015
"82" 1980-03-22 14.33 31.1 21.6 85.07 1.01 85.07 82 11.9857726299314 38.0133695335813 3.0437302172881 0.253945265880245 26.35 4.52802739291588 2.58323082693494 3.55562910992541 3.02477368381355 0.530855426111864 0.209620067183649 11.0341 -0.229930373312033 10.804169626688 3.46109424196953 0.7465 4.14787506496589
"83" 1980-03-23 25.35 32.1 21.6 75.88 1.41 75.88 83 11.9786624363077 38.3083720198061 9.86407506094374 0.823470492919596 26.85 4.79254819773338 2.58323082693494 3.68788951233416 2.79837056195916 0.889518950374999 0.216595098948561 19.5195 -0.649625685858001 18.869874314142 6.10825519809978 0.7515 7.29293685278282
"84" 1980-03-24 22.8 32.7 22.1 80.04 1.36 80.04 84 11.971556435731 37.5226015551574 8.56286582183061 0.715267548359327 27.4 4.95762056288681 2.66340395998961 3.81051226143821 3.04993401405514 0.760578247383067 0.222867855868278 17.556 -0.522308135456854 17.0336918645431 5.4999939727723 0.757 6.63145958132185
"85" 1980-03-25 15.64 31.7 21 78.51 1.19 78.51 85 11.9644560314657 36.3085594370333 4.3252088660105 0.361504848581121 26.35 4.6851716955273 2.48981333854248 3.58749251703489 2.81654037512409 0.770952141910797 0.211498556005879 12.0428 -0.323987379201482 11.7188126207985 3.92854460075618 0.7465 4.49901957673342
"86" 1980-03-26 23.5 32.9 21.5 75.9 1.56 75.9 86 11.9573626315446 35.6983989175744 9.76421082289793 0.816585657203293 27.2 5.01373106822062 2.56745177328265 3.79059142075164 2.87705888835049 0.913532532401144 0.222038137974639 18.095 -0.627833808355218 17.4671661916448 5.78041928215045 0.755 6.78225110127007
"87" 1980-03-27 24.23 33.3 21.2 75.69 1.25 75.69 87 11.9502776499392 36.1786989454901 10.0318064714489 0.839462208771354 27.25 5.12760852811486 2.52061886287571 3.82411369549529 2.89447165612038 0.929642039374905 0.22391707802121 18.6571 -0.639239697847768 18.0178603021522 5.90998754566519 0.7555 7.00071092139909
"88" 1980-03-28 23.41 33.6 24.7 74.75 1.21 74.75 88 11.9432025077174 37.2568285193519 9.03721091921393 0.756682381745962 29.15 5.21448386487383 3.11633576288208 4.16540981387795 3.11364383587377 1.05176597800418 0.240435306077892 18.0257 -0.546444238999801 17.4792557610002 5.89892255235583 0.7745 6.96223727326011
"89" 1980-03-29 15.36 32.6 21.8 77.05 1.26 77.05 89 11.9361386341836 37.905421112229 3.70543299690369 0.310438166853374 27.2 4.9297703989763 2.61504335174219 3.77240687535925 2.9066394974643 0.865767377894947 0.220972957861388 11.8272 -0.281902324847676 11.5452976751523 3.99151938457529 0.755 4.48287415443772
"90" 1980-03-30 23.8 34.5 21.2 74.41 1.18 74.41 90 11.9290874679994 37.4839080977123 9.18394510543986 0.769878260183472 27.85 5.4828212382175 2.52061886287571 4.00172005054661 2.97767988961173 1.02404016093488 0.233257380663385 18.326 -0.577257349532633 17.7487426504674 5.92735991097878 0.7615 6.95091472885589
"91" 1980-03-31 24.19 34 22.9 67.25 2 67.25 91 11.9220504582817 36.3104102919384 9.92391786387966 0.832400256869067 28.45 5.33230335959549 2.79620529929478 4.06425432944514 2.73321103655185 1.33104329289328 0.23583392807507 18.6263 -0.68730978615114 17.9389902138489 6.49693855358736 0.7675 7.08077570869491
